gp60,sites,Pi,SD,Theta-W,SD 
all-620,462,0.129,0.0042,0.105,0.0057
all-570,462,0.131,0.0045,0.106,0.0057
all-520,462,0.126,0.0043,0.106,0.0058
all-470,462,0.128,0.0046,0.107,0.0058
all-420,465,0.129,0.0049,0.105,0.0058
all-370,466,0.128,0.005,0.105,0.0059
all-320,466,0.127,0.0055,0.107,0.006
all-270,471,0.125,0.0058,0.109,0.006
all-220,473,0.121,0.0062,0.111,0.0062
all-170,473,0.122,0.0071,0.114,0.0065
all-120,482,0.128,0.0085,0.12,0.0068
all-70,542,0.124,0.0056,0.098,0.0061
all-20,602,0.135,0.0098,0.102,0.0069
