,Cryptosporidium,,,Giardia,,,E. coli,,,Campylobacter,,
Site,Negative,Positive,Percent,Negative,Positive,Percent,Negative,Positive,Percent,Negative,Positive,Percent
Ashley River,18,1,5.3,19,0,0,17,2,5.3,19,0,0
Big Huia Creek,19,0,0,19,0,0,18,1,0,18,1,5.3
Hicks Road Spring,19,0,0,19,0,0,19,0,0,18,1,5.3
Hutt River,19,0,0,19,0,0,19,0,0,18,1,5.3
Lake Karapiro,19,0,0,19,0,0,18,1,5.3,17,2,10.5
Lower Huia Dam,17,2,10.5,19,0,0,18,1,5.3,16,3,15.8
NW Christchurch Aquifer 1,19,0,0,19,0,0,19,0,0,19,0,0
Orongorongo River,19,0,0,19,0,0,18,1,0,16,3,15.8
Oroua River,16,3,15.8,16,3,15.8,14,5,21.1,10,9,47.4
Pareora River,19,0,0,19,0,0,18,1,5.3,13,6,31.6
Seadown Well,19,0,0,19,0,0,19,0,0,19,0,0
Tautau Stream,19,0,0,18,1,5.3,14,5,21.1,17,2,10.5
Turitea Dam,19,0,0,19,0,0,19,0,0,15,4,21.1
Waikato River - Hamilton,9,10,52.6,4,15,78.9,13,6,15.8,8,11,57.9
Waikato River - Tuakau,8,11,57.9,3,16,84.2,11,8,10.5,10,9,47.4
Waingawa River,19,0,0,19,0,0,19,0,0,18,1,5.3
Wainuiomata River,19,0,0,19,0,0,19,0,0,17,2,10.5
Waiorohi Stream,15,4,21.1,16,3,15.8,4,15,31.6,4,15,78.9
Waitakere Dam,19,0,0,18,1,5.3,18,1,5.3,17,2,10.5
Whakarewarewa Forest Spring,19,0,0,19,0,0,19,0,0,19,0,0
